"country_code","country","continent","region"
18,"Albania",NA,NA
12,"Algeria","Africa","Northern Africa"
16,"American Samoa","Oceania","Polynesia"
20,"Andorra","Europe","Southern Europe"
24,"Angola","Africa","Middle Africa"
28,"Antigua","North America","Latin America and the Caribbean"
31,"Azerbaijan","Asia","Western Asia"
32,"Argentina","South America","South America"
36,"Australia","Oceania","Australia and New Zealand"
40,"Austria","Europe","Western Europe"
48,"Bahrain","Asia","Western Asia"
50,"Bangladesh","Asia","Southern Asia"
51,"Armenia","Asia","Western Asia"
52,"Barbados","North America","Latin America and the Caribbean"
56,"Belgium","Europe","Western Europe"
60,"Bermuda","North America","Northern America"
64,"Bhutan","Asia","Southern Asia"
68,"Bolivia","South America","South America"
70,"Bosnia","Europe","Southern Europe"
70,"Bosnia","Europe","Southern Europe"
72,"Botswana","Africa","Southern Africa"
76,"Brazil","South America","South America"
84,"Belize","North America","Central America"
100,"Bulgaria","Europe","Eastern Europe"
104,"Myanmar","Asia","South-Eastern Asia"
108,"Burundi","Africa","Eastern Africa"
112,"Belarus","Europe","Eastern Europe"
116,"Cambodia","Asia","South-Eastern Asia"
120,"Cameroon","Africa","Middle Africa"
124,"Canada","North America","Northern America"
144,"Sri Lanka","Asia","Southern Asia"
148,"Chad","Africa","Middle Africa"
152,"Chile","South America","South America"
156,"China","Asia","Eastern Asia"
158,"Taiwan",NA,NA
170,"Colombia","South America","South America"
180,"D.R. Congo","Africa","Middle Africa"
184,"Cook Islands","Oceania","Polynesia"
188,"Costa Rica","North America","Central America"
191,"Croatia","Europe","Southern Europe"
192,"Cuba","North America","Latin America and the Caribbean"
196,"Cyprus (G)","Asia","Western Asia"
196,"Cyprus (G)","Asia","Western Asia"
197,"Cyprus (T)",NA,NA
203,"Czech Rep.","Europe","Eastern Europe"
208,"Denmark","Europe","Northern Europe"
214,"Dominican Rep.","North America","Latin America and the Caribbean"
218,"Ecuador","South America","South America"
222,"El Salvador","North America","Central America"
226,"Eq.Guinea","Africa","Middle Africa"
231,"Ethiopia","Africa","Eastern Africa"
232,"Eritrea","Africa","Eastern Africa"
233,"Estonia","Europe","Northern Europe"
246,"Finland","Europe","Northern Europe"
250,"France","Europe","Western Europe"
268,"Georgia","Asia","Western Asia"
270,"Gambia","Africa","Western Africa"
275,"Palestine","Asia","Western Asia"
276,"Germany","Europe","Western Europe"
276,"Germany","Europe","Western Europe"
276,"Germany","Europe","Western Europe"
288,"Ghana","Africa","Western Africa"
292,"Gibraltar","Europe","Southern Europe"
300,"Greece","Europe","Southern Europe"
320,"Guatemala","North America","Central America"
324,"Guinea","Africa","Western Africa"
328,"Guyana","South America","South America"
332,"Haiti","North America","Latin America and the Caribbean"
340,"Honduras","North America","Central America"
344,"Hong Kong","Asia","Eastern Asia"
348,"Hungary","Europe","Eastern Europe"
352,"Iceland","Europe","Northern Europe"
356,"India","Asia","Southern Asia"
360,"Indonesia","Asia","South-Eastern Asia"
364,"Iran","Asia","Southern Asia"
368,"Iraq","Asia","Western Asia"
372,"Ireland","Europe","Northern Europe"
376,"Israel","Asia","Western Asia"
380,"Italy","Europe","Southern Europe"
384,"Cote d'Ivoire","Africa","Western Africa"
388,"Jamaica","North America","Latin America and the Caribbean"
392,"Japan","Asia","Eastern Asia"
398,"Kazakhstan","Asia","Central Asia"
400,"Jordan","Asia","Western Asia"
404,"Kenya","Africa","Eastern Africa"
408,"North Korea","Asia","Eastern Asia"
410,"South Korea","Asia","Eastern Asia"
414,"Kuwait","Asia","Western Asia"
417,"Kyrgyzstan","Asia","Central Asia"
418,"Laos","Asia","South-Eastern Asia"
422,"Lebanon","Asia","Western Asia"
426,"Lesotho","Africa","Southern Africa"
428,"Latvia","Europe","Northern Europe"
430,"Liberia","Africa","Western Africa"
434,"Libya","Africa","Northern Africa"
438,"Liechtenstein","Europe","Western Europe"
440,"Lithuania","Europe","Northern Europe"
442,"Luxembourg","Europe","Western Europe"
450,"Madagascar","Africa","Eastern Africa"
454,"Malawi","Africa","Eastern Africa"
458,"Malaysia","Asia","South-Eastern Asia"
466,"Mali","Africa","Western Africa"
470,"Malta","Europe","Southern Europe"
474,"Martinique","North America","Latin America and the Caribbean"
478,"Mauritania","Africa","Western Africa"
480,"Mauritius","Africa","Eastern Africa"
484,"Mexico","North America","Central America"
492,"Monaco","Europe","Western Europe"
496,"Mongolia","Asia","Eastern Asia"
498,"Moldova","Europe","Eastern Europe"
504,"Morocco","Africa","Northern Africa"
508,"Mozambique","Africa","Eastern Africa"
512,"Oman","Asia","Western Asia"
516,"Namibia","Africa","Southern Africa"
524,"Nepal","Asia","Southern Asia"
528,"Netherlands","Europe","Western Europe"
554,"New Zealand","Oceania","Australia and New Zealand"
558,"Nicaragua","North America","Central America"
562,"Niger","Africa","Western Africa"
566,"Nigeria","Africa","Western Africa"
578,"Norway","Europe","Northern Europe"
586,"Pakistan","Asia","Southern Asia"
591,"Panama","North America","Central America"
598,"Papua New Guinea","Oceania","Melanesia"
600,"Paraguay","South America","South America"
604,"Peru","South America","South America"
608,"Philippines","Asia","South-Eastern Asia"
616,"Poland","Europe","Eastern Europe"
620,"Portugal","Europe","Southern Europe"
624,"Guinea-Bissau","Africa","Western Africa"
626,"Timor-Leste","Asia","South-Eastern Asia"
630,"Puerto Rico","North America","Latin America and the Caribbean"
634,"Qatar","Asia","Western Asia"
642,"Romania","Europe","Eastern Europe"
643,"Russia","Europe","Eastern Europe"
643,"Russia","Europe","Eastern Europe"
643,"Russia","Europe","Eastern Europe"
646,"Rwanda","Africa","Eastern Africa"
682,"Saudi Arabia","Asia","Western Asia"
686,"Senegal","Africa","Western Africa"
690,"Seychelles","Africa","Eastern Africa"
694,"Sierra Leone","Africa","Western Africa"
702,"Singapore","Asia","South-Eastern Asia"
703,"Slovakia","Europe","Eastern Europe"
704,"Viet Nam","Asia","South-Eastern Asia"
705,"Slovenia","Europe","Southern Europe"
706,"Somalia","Africa","Eastern Africa"
710,"South Africa","Africa","Southern Africa"
716,"Zimbabwe","Africa","Eastern Africa"
724,"Spain","Europe","Southern Europe"
736,"Sudan",NA,NA
740,"Suriname","South America","South America"
752,"Sweden","Europe","Northern Europe"
756,"Switzerland","Europe","Western Europe"
760,"Syria","Asia","Western Asia"
762,"Tajikistan","Asia","Central Asia"
764,"Thailand","Asia","South-Eastern Asia"
768,"Togo","Africa","Western Africa"
780,"Trinidad and Tobago","North America","Latin America and the Caribbean"
784,"United Arab Emirates","Asia","Western Asia"
788,"Tunisia","Africa","Northern Africa"
792,"Turkey","Asia","Western Asia"
795,"Turkmenistan","Asia","Central Asia"
800,"Uganda","Africa","Eastern Africa"
804,"Ukraine","Europe","Eastern Europe"
807,"Macedonia","Europe","Southern Europe"
818,"Egypt","Africa","Northern Africa"
826,"Great Britain","Europe","Northern Europe"
826,"Great Britain","Europe","Northern Europe"
826,"Great Britain","Europe","Northern Europe"
834,"Tanzania","Africa","Eastern Africa"
840,"United States","North America","Northern America"
850,"U.S. Virgin Islands","North America","Latin America and the Caribbean"
854,"Burkina Faso","Africa","Western Africa"
858,"Uruguay","South America","South America"
860,"Uzbekistan","Asia","Central Asia"
862,"Venezuela","South America","South America"
887,"Yemen","Asia","Western Asia"
891,"Serbia and Montenegro",NA,NA
894,"Zambia","Africa","Eastern Africa"
900,"West Germany",NA,NA
901,"East Germany",NA,NA
902,"Tambov",NA,NA
903,"Moscow",NA,NA
904,"Basque Country",NA,NA
906,"Andalusia",NA,NA
907,"Galicia",NA,NA
909,"North Ireland",NA,NA
910,"Valencia",NA,NA
911,"Serbia",NA,NA
912,"Montenegro",NA,NA
913,"Srpska Republic",NA,NA
914,"Bosnian Federation",NA,NA
915,"Kosovo",NA,NA
-5,"Missing; Unknown",NA,NA
-4,"Not asked in survey",NA,NA
-3,"Not applicable",NA,NA
-2,"No answer",NA,NA
-1,"Don't know",NA,NA
